year,country,iso,trade,exports,imports,ggfce,gfcf,industry,manufact,unempl,agriculture,rgdp_growth,infl_cpi,oil,gold,copper,sp500
2017,Australia,AUS,41.9397560640113,21.2253185048263,20.714437559185,19.0395233596731,23.9950344281919,23.4671582218979,5.79873746244275,5.59000015258789,2.70247380513086,2.295926946940541,1.9486474094458028,54.25841395,1292.172443,6339.762495,2738.47
2018,Australia,AUS,43.3822260663091,21.8697129487245,21.5125131175846,19.10636556904,24.3861730077821,24.1399368185503,5.77727182456784,5.30000019073486,2.45780397255264,2.87097248021686,1.9114009444566538,67.15239138,1247.033262,6415.619786,3289.86
2019,Australia,AUS,45.8450397384068,24.1697272878614,21.6753124505454,19.472898344901,23.3264036895985,25.3279677406758,5.61511806427613,5.15999984741211,2.11686400565607,2.113149424623284,1.610767872903529,61.72971534,1399.805003,6041.681228,3027.78
2020,Australia,AUS,44.039526146645,23.9838535266898,20.0556726199551,20.8618856601103,22.6546873943013,25.4620958711998,5.65111420964366,6.46000003814697,2.00609228488954,-0.0038365585662503143,0.8469055374596302,41.67893282,1788.324734,6236.792034,3714.39
2021,Australia,AUS,40.0169810499224,22.1821858626712,17.8347951872512,21.4277628071466,22.4247100884853,25.4955708970929,5.56562377540505,5.1100001335144,2.26762328193865,1.4751628833046482,2.863910422049609,68.67853022,1789.41497,9264.169006,4239.2
1976,Austria,AUT,59.9162824894445,28.7525268528866,31.1637556365578,17.1817693745386,27.4137298138564,33.9985945665537,22.2527283726238,2.0,5.10631891369283,4.578445433321465,7.318685451068996,27.48371654,294.9615605,3310.216299,509.2
1977,Austria,AUT,60.2775963946407,27.9539568111061,32.3236395835347,17.0109076954887,28.2721782187189,33.6022058931724,21.6266202473717,1.79999995231628,4.41013560445067,5.079980594259115,5.494615681276738,27.46910849,322.9414707,2861.13773,518.64
1978,Austria,AUT,59.6679872436748,29.1150923567311,30.5528948869436,17.6562142158354,26.3026816012015,33.8423827872164,21.9883592797963,2.09999990463257,4.41461438012659,-0.21065369516249932,3.5743185755123585,24.29875737,363.5203839,2567.51644,422.08
1979,Austria,AUT,63.3172195649945,30.8807755257532,32.4364440392413,17.5220942244756,26.5758341588463,32.9180389097137,21.3519435672663,2.0,4.28892579326512,5.356699900250939,3.7074009635341243,52.21804152,517.1578156,3347.899152,426.72
1980,Austria,AUT,66.8250056155535,31.6930715411788,35.1319340743747,17.5341440555041,27.299680279615,32.9373057967936,21.2032267819062,1.89999997615814,4.32640253712843,1.7314855954994712,6.3283253622608004,56.52604756,931.9588773,3345.516665,416.65
1981,Austria,AUT,68.3965493602774,33.000661339043,35.3958880212345,17.9647048904059,27.2090246871691,32.5462613788216,20.753650403717,2.05999994277954,3.96693470205005,-0.14429469056705946,6.803041775992602,54.34246527,704.077077,2667.658399,446.84
1982,Austria,AUT,64.1171137058053,31.741496438195,32.3756172676103,18.3466781011049,24.5443191280251,31.766130895421,20.137164141764,3.34999990463257,3.64603887275929,2.011254707543597,5.436030825128557,51.53147498,593.1701157,2336.778989,363.59
1983,Austria,AUT,62.4721845225182,30.4781985362749,31.9939859862433,18.3463214751647,23.6798552048118,31.2968521757649,20.0603493853082,4.1100001335144,3.41220928704143,2.973088030312243,3.339164534095329,48.08806431,685.1035814,2581.197829,431.27
1984,Austria,AUT,66.5750061022185,32.7510176517733,33.8239884504452,18.3887310915946,23.1826035639788,30.1146225743745,19.6946867657676,3.79999995231628,3.58234970359858,0.05127476296689082,5.663185739093524,47.34600675,597.642306,2283.478744,477.31
1985,Austria,AUT,70.0831623102221,34.9213218286284,35.1618404815936,18.5778439047332,23.8116054378784,30.4474446523766,20.0172991545649,3.59999990463257,3.13516480607286,2.498678497484197,3.1895168180519518,45.54267407,532.6189206,2374.669302,475.43
1986,Austria,AUT,64.0145976599605,31.997714792758,32.0168828672025,18.7854382881422,23.60310928337,30.259284564499,20.0085392670455,3.11999988555908,3.22696289723507,2.3013932119724245,1.7054445673196472,20.90292417,535.6016225,2001.118746,555.26
1987,Austria,AUT,62.8537226292472,31.4062049613202,31.447517667927,18.7520822565685,24.1693700009462,29.7526220688057,19.4113956085659,3.78999996185303,3.19749322364061,1.3571680641546013,1.4019527178397606,24.12040351,593.4749127,2369.397914,695.25
1988,Austria,AUT,66.5625495918394,33.070925786466,33.4916238053734,18.5135052492305,24.915295351705,29.5182647201743,19.5049655088822,3.54999995231628,3.04846132833427,3.2958798984298543,1.9157168467125452,18.37158451,545.5388017,3247.496296,632.84
1989,Austria,AUT,70.538359093152,35.0152028541185,35.5231562390335,18.1859860514548,25.170674243861,29.2832194332994,19.4039904225957,3.14000010490417,3.01155485047995,3.8870748178205794,2.5683482902937316,22.4013392,478.9861186,3576.915524,688.86
1990,Austria,AUT,71.4883694717106,35.6974143906097,35.7909550811009,17.9756738660758,25.3676174436434,29.560863303277,19.5811147493539,3.25,3.09711987382272,4.345641399478128,3.2618723187857857,27.67450646,463.8390419,3219.313698,780.0
1991,Austria,AUT,70.0484055944094,34.5904881694804,35.457917424929,18.1577955514132,26.4424380236689,29.5052574059251,19.1717388526963,3.42000007629395,2.81128199383227,3.441627776694589,3.3374270347479085,23.64830939,442.1598013,2855.233495,706.83
1992,Austria,AUT,67.6301676560879,33.1552677219512,34.4748999341367,18.4899116879537,26.0309713513742,29.0158979502276,18.4796349933762,3.58999991416931,2.45333456337001,2.093524617091913,4.020847800385519,22.7949621,411.9371726,2733.786571,880.66
1993,Austria,AUT,63.2650507794238,31.4638980923504,31.8011526870735,19.3004158667799,25.5181942322049,28.303768907107,17.4602069504658,4.25,2.20444079649096,0.5268092037067351,3.631785249431818,19.51014539,416.7737757,2216.194195,892.12
1994,Austria,AUT,65.9870933970696,32.1585339446652,33.8285594524044,19.4443661360991,26.1614905376506,28.4134001556217,17.3565201137903,3.53999996185303,2.37154589541966,2.402119073798903,2.9534093676107043,18.97370477,458.6313885,2755.786305,945.64
1995,Austria,AUT,68.25660110272,33.5331403455378,34.7234607571822,19.5896579303121,25.2990579458832,28.851531988081,17.9058795218244,4.34000015258789,2.15859633228818,2.667983530895257,2.2433663150090988,18.69378419,417.9329987,3193.651713,904.8
1996,Austria,AUT,70.0836711206827,34.2492761073574,35.8343950133252,19.5657433008979,25.7918445446302,28.7520088650827,17.6322092892288,5.28000020980835,1.98247099499027,2.349533851697183,1.8609711576043297,22.64645904,429.9675714,2545.072356,1163.16
1997,Austria,AUT,74.8676902155828,37.0280827384957,37.8396074770871,19.6007911245516,25.4194119489777,28.6763839380903,17.8035346476776,5.15000009536743,1.90548344310224,2.09359938952427,1.3059785722768336,22.31211275,385.3440666,2649.802377,1407.69
1998,Austria,AUT,76.9271493915785,38.351021186462,38.5761282051164,19.5530546720414,25.4702182023922,28.5106628527989,17.7267690030401,5.48000001907349,1.79334392378865,3.581425814604189,0.9224671966808096,15.89910408,357.9864969,2012.948297,1742.49
1999,Austria,AUT,78.2601403439716,39.3570378852981,38.9031024586734,19.8436668661919,24.9592422057372,28.4285921580405,17.8909326625414,4.69999980926514,1.72221732211898,3.5563312466418306,0.5689937658856836,22.42347394,345.9033778,1951.648771,2221.61
2000,Austria,AUT,85.3604956179232,43.3462739519887,42.0142216659345,19.2197165554154,25.6116808815912,28.2848020340956,18.2149670740326,4.69000005722046,1.64730021298979,3.375722147084792,2.3448628535727156,35.48246795,350.7201759,2279.383672,2468.57
2001,Austria,AUT,87.5366647639352,44.6175555179483,42.9191092459869,18.9761681528468,24.7966217719998,28.2087461435225,18.3410929949555,4.01000022888184,1.67070339573168,1.267168189229828,2.650000772795358,31.8004934,353.878578,2061.050772,2229.58
