país Code,"tiempo Code","NY.GDP.MKTP.KD","NE.TRD.GNFS.ZS","NE.EXP.GNFS.ZS","NE.GDI.FTOT.ZS","NE.CON.GOVT.ZS","NE.IMP.GNFS.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","FR.INR.RINR","FP.CPI.TOTL","FM.LBL.BMNY.GD.ZS","FM.LBL.BMNY.ZG","SL.UEM.TOTL.NE.ZS","SL.UEM.TOTL.ZS","SL.EMP.TOTL.SP.NE.ZS","SL.EMP.TOTL.SP.ZS"
ROU,"YR2006","145084243630.272","61.6836259265159","24.7712264990404","26.6161477360716","15.9232658405555","36.9123994274755","32.9782770932418","21.1053948126196","3.05143448896313","78.952928412357","32.2993789287396","14.1267416359139","7.26999998092651","7.26999998092651","50.9700012207031","50.9739990234375"
ROU,"YR2007","155579358880.783","63.5051566734658","24.710829049515","35.3425758725047","15.3905496262431","38.7943276239508","34.2821825497409","21.0280647164106","-2.13087077084908","82.7721415383444","34.8063992040238","33.8338795224371","6.40999984741211","6.40999984741211","51.2599983215332","51.2589988708496"
ROU,"YR2008","170059856633.111","65.1748146561928","26.1553446185183","37.2865133135223","15.8811050644031","39.0194700376745","36.7741526756529","21.9453514094873","-0.88543845281131","89.2704189428403","32.248357286843","17.4937177869345","5.78999996185303","5.78999996185303","51.3499984741211","51.3540000915527"
ROU,"YR2009","160676983612.891","58.4728337688248","26.0236122287219","25.9975806864793","16.1045586466913","32.4492215401029","36.4248709347848","21.0069648502602","12.6704102021291","94.2583322230047","35.7535700851243","9.03332207552948","6.8600001335144","6.8600001335144","50.7099990844727","50.7050018310547"
ROU,"YR2010","154408594834.276","71.3952597327036","32.3822714419377","26.072529703537","15.4673902040531","39.0129882907659","38.0092693767153","22.9764935493728","10.1158911265861","100","38.3629975576829","6.81737053267701","6.96000003814697","6.96000003814697","51.0499992370605","51.0509986877441"
ROU,"YR2011","157351727197.999","79.9999964214776","37.0550979718903","27.244203196372","14.2722207003562","42.9448984495873","38.6954747258807","24.8772969416695","8.05449260371927","105.789253288159","38.6240894380092","6.46701411725749","7.17999982833862","7.17999982833862","50.2299995422363","50.2249984741211"
ROU,"YR2012","160562749027.636","80.3506291239713","37.5318245668167","27.5346819554136","14.5692685237271","42.8188045571546","32.7606446174048","19.9869178577663","7.28381288515757","109.317243085825","37.5130726949399","2.84245222608059","6.78999996185303","6.78999996185303","50.9000015258789","50.9020004272461"
ROU,"YR2013","166617509768.333","80.9702476251552","40.0340615697363","24.7014258045841","14.2857165355472","40.9361860554189","32.3579085427639","20.4373985578481","6.89296956414069","113.673220777738","38.0413207014592","8.80537482390374","7.09999990463257","7.09999990463257","50.6599998474121","50.6580009460449"
ROU,"YR2014","172630275253.713","83.2756834774294","41.4272337371785","24.3618411061963","14.5031110017427","41.8484497402509","32.0185682060385","21.0466894399152","6.5511533751709","114.887603022632","39.072742909665","8.33017368215694","6.80000019073486","6.80000019073486","51.1399993896484","51.1389999389648"
ROU,"YR2015","177729210874.504","83.5931599445395","41.3851279458834","24.7915279299268","14.0162535665379","42.208031998656","30.0977947407462","19.5844703249576","3.40142365789429","114.204990933389","40.2078526683596","9.39346661416349","6.80999994277954","6.80999994277954","50.8300018310547","50.826000213623"
ROU,"YR2016","186087811658.571","84.5964231112973","41.7762791321969","22.9469817750875","15.0856312262449","42.8201439791004","30.1221432523301","20.1593002052635","3.18420454033624","112.440756038601","41.135804937848","9.74068452525915","5.90000009536743","5.90000009536743","50.5499992370605","50.5509986877441"
ROU,"YR2017","199708413252.137","86.5185593073843","42.0246190766547","22.4082251490478","15.7090075168811","44.4939402307297","28.8920319801113","19.9363978628171","0.845769243575239","113.946361611816","40.7940095604862","11.4076738933702","4.92999982833862","4.92999982833862","52.2299995422363","52.2309989929199"
ROU,"YR2018","208644413683.726","87.1366571453939","41.8616969020051","21.0519806856682","16.8271938898541","45.2749602433887","28.1915062961758","18.7031595670404","0.585741536641894","119.216932828292","40.0403394224298","8.88797985953742","4.19000005722046","4.19000005722046","52.6800003051758","52.6759986877441"
ROU,"YR2019","217382984916.126","84.8877950830106","40.3832221627516","22.6078148153324","17.6748948887469","44.504572920259","26.9659232169426","16.9887585445977","0.342831387125416","123.780383348878","39.9096030003403","10.905108739629","3.91000008583069","3.91000008583069","52.9799995422363","52.984001159668"
ROU,"YR2020","208838846565.924","78.979162308744","37.25760476446","24.5514276554528","18.8554238326073","41.7215575442841","26.3671561182202","15.7767220236525","2.63288595556996","127.037135732912","46.1702889407861","15.3130692590717","5.03000020980835","5.03000020980835","52.2900009155273","52.2900009155273"
ROU,"YR2021","","","","","","","","","","133.455469478653","","","","5.16900014877319","","49.5"
SWE,"YR1960","123686642725.624","42.4906296131242","20.925767485336","29.1261364286166","15.0750664869698","21.5648621277882","","","","9.21091338882047","54.4362412769124","","","","",""
SWE,"YR1961","130713643065.187","40.2824285897741","20.3207805011059","29.8723426381392","15.04311451157","19.9616480886681","","","","9.40968242291999","53.1226709418159","6.16050989721262","","","",""
SWE,"YR1962","136280798857.2","39.6084766589033","19.9221844877164","30.5460267645969","15.8997272870952","19.6862921711869","","","","9.85816644488342","53.730151486926","9.6907172906581","","","",""
SWE,"YR1963","143541749586.462","39.7614171094572","19.9577586751508","31.1617136787392","16.4032987254836","19.8036584343064","","","","10.1412673879444","53.9894928307197","8.75941950777651","","","",""
SWE,"YR1964","153332968452.576","40.441665219283","20.295846211353","31.5834206558405","16.3115298963912","20.1458190079301","","","","10.4848192810917","51.9066940709419","7.2175361497023","","","",""
SWE,"YR1965","159192599473.078","40.6232683205206","19.8769926457366","31.7262048965424","16.8408039487518","20.746275674784","","","","11.0103992924977","50.1136915104228","6.24245930088422","","","",""
SWE,"YR1966","162521068848.464","39.6753121034525","19.4866675037963","31.8593441076913","17.9196603077568","20.1886445996562","","","","11.7155942551251","50.4460831450612","9.49721539466725","","","",""
SWE,"YR1967","167990534344.207","38.5186122044385","19.2002986858885","31.8999721901909","18.518874243197","19.31831351855","","","","12.2181134924112","52.3991680687373","12.7466719706764","","","",""
SWE,"YR1968","174102879451.687","39.4772874857353","19.6142187258618","30.6952705677076","19.4972177738423","19.8630687598735","","","","12.4555268109773","55.1061795105513","11.5991884978389","","","",""
SWE,"YR1969","182823823634.688","41.9847791059332","20.7826705392351","29.8125371853855","19.6934538836247","21.2021085666981","","","","12.7908289183314","53.4834718499506","5.40061424506572","1.88999998569489","","",""
SWE,"YR1970","196150229232.739","44.2974247730282","21.9532278902869","28.4602969372664","20.2370819552898","22.3441968827413","","","","13.68827937526","50.1756133781736","5.9230612660289","1.50999999046326","","",""
SWE,"YR1971","198003155009.149","43.1728321606004","22.1702329383789","27.7499342501966","21.2101140309695","21.0025992222215","","","","14.7006017075933","51.1298706411457","10.1784052752943","2.54999995231628","","",""
SWE,"YR1972","202534930030.788","42.588553009853","22.0427537324221","28.0695525519979","21.4332372488295","20.5457992774309","","","","15.5837241402111","52.7676115109657","12.9263814944006","2.70000004768372","","",""
SWE,"YR1973","210571477885.03","47.298539888583","24.9733483912929","27.6770323368612","21.3963881518326","22.3251914972901","","","","16.6306383224921","53.9378552389079","13.7487603843215","2.46000003814697","","",""
SWE,"YR1974","217305965722.135","59.2218712276554","29.3503369316148","27.1727823898712","21.8931163757032","29.8715342960405","","","","18.2790215088424","52.3777385541318","9.69157329064715","1.98000001907349","","",""
